config,seed,realized_sd_mean,real_mu_openness,real_sd_openness,real_mu_conscientiousness,real_sd_conscientiousness,real_mu_extraversion,real_sd_extraversion,real_mu_agreeableness,real_sd_agreeableness,real_mu_neuroticism,real_sd_neuroticism
abpr_e1_agreeableness_low,5,0.14085616603602547,0.49828318671956945,0.15362854501176887,0.4967084539625543,0.1498610674747594,0.49379901431330386,0.1301931155502199,0.22595322322444594,0.12881657663991714,0.5044994752281942,0.14178152550346204
abpr_e1_agreeableness_low,6,0.14654476623268425,0.47521556758316286,0.1555376153093326,0.4803245022802162,0.16044798095184565,0.5139023131007128,0.1412644730242179,0.2415655404387009,0.12905389274014598,0.4942304675394251,0.14641986913787924
abpr_e1_agreeableness_low,7,0.13426415040592957,0.47450339132990527,0.13909294866687305,0.4853263651206045,0.14145406387005038,0.47613106947537887,0.13411069767383477,0.1991162438661744,0.11432982972756907,0.48647385169583046,0.1423332120913204
abpr_e1_agreeableness_low,8,0.14405004733052254,0.5105213089304015,0.14870385321492052,0.49084047260247254,0.13299506164346692,0.5291655695777389,0.15204638181342398,0.22704954562867966,0.12907176244487203,0.4958998090961005,0.1574331775359292
abpr_e1_neuroticism_high,1,0.13314423386362864,0.4883190267625045,0.1397981580769694,0.5071803481976466,0.12430487734542464,0.48411210298588014,0.13051874965235755,0.482720668690555,0.15828599096447726,0.785443430205778,0.11281339327891439
abpr_e1_neuroticism_high,2,0.14715885008460794,0.4995030331459109,0.1404062650979197,0.49945929679458784,0.16190547675945474,0.4938891195679552,0.15140049879100953,0.47798438540382043,0.15352090278448294,0.7781303154964321,0.12856110699017287
abpr_e1_neuroticism_high,3,0.14133741867827743,0.5142945039441357,0.1381980422634723,0.5088896282454904,0.1584793826723633,0.5220637971598214,0.15685878057447206,0.5059741900688604,0.13502622760637012,0.775077528928474,0.11812466027470936
abpr_e1_neuroticism_high,4,0.14479620543863952,0.47727036954685237,0.1489968658280053,0.5134894066314754,0.14957418521068258,0.5055321695707884,0.13402982963488108,0.5143097948950145,0.14844488935019848,0.7608612293576759,0.14293525716943015
abpr_e1_neuroticism_high,5,0.14370136142806636,0.4873952572474973,0.14815119699107496,0.49428983040107327,0.14433207219502162,0.49021569661359143,0.13473789919675772,0.4937443856914253,0.1570862840432811,0.7712163404714554,0.13419935471419642
abpr_e1_neuroticism_high,6,0.14889004446958315,0.4835813451468225,0.16287311369581275,0.4831154018534348,0.163204661968284,0.509876765832754,0.14184966957152276,0.5234323598745114,0.1452282064003273,0.7787847752550147,0.13129457071196896
abpr_e1_neuroticism_high,7,0.13452906467115125,0.47214613697844066,0.13718704649411123,0.4764148210261074,0.14494233802708764,0.47922616998700895,0.13701971536882954,0.4704116211043667,0.13624753576181992,0.756056277027055,0.1172486877039078
abpr_e1_neuroticism_high,8,0.14418081348661566,0.517078419697374,0.15146398421680277,0.49657846726668253,0.13943502976154384,0.52333640903183,0.147171390141515,0.4992620571446802,0.1551514047551036,0.7570374738443373,0.12768225855811302
abpr_e1_norm_baseline,1,0.13597904620390655,0.49617129908359864,0.13652937200913023,0.5014816098045726,0.12261599077862134,0.4819649921928803,0.13278842601865412,0.48360254662612895,0.1586601160026633,0.50997581305622,0.1293013262104638
abpr_e1_norm_baseline,2,0.15113407378171836,0.5017158282276885,0.14371001823419027,0.5001794647979323,0.1601793214844164,0.49470969090680234,0.14832692631758243,0.46550011238183453,0.1556928401769579,0.49783120151938975,0.14776126269544473
abpr_e1_norm_baseline,3,0.1491072184974031,0.5112912342932551,0.13956114169634742,0.49202638263137777,0.16013005959901672,0.5293981553741473,0.15595464246042276,0.4993449427241227,0.13076786915168215,0.5091854813702956,0.15912237957954653
abpr_e1_norm_baseline,4,0.15049829511294638,0.485874984600444,0.14660963592006465,0.5096801136745787,0.14491674385274173,0.510489894613155,0.13989932454384435,0.512957412508073,0.15785290790741582,0.4837701430887498,0.16321286334066534
abpr_e1_norm_baseline,5,0.14354491357062188,0.5035609761837806,0.1504212125559987,0.5072642036168413,0.14393983247463524,0.48899195238137383,0.13218769163628336,0.4970879085952823,0.14866480036439164,0.5040748518795657,0.14251103082180042
abpr_e1_norm_baseline,6,0.151713101680317,0.4775568220221932,0.1569749945364579,0.4881883429347223,0.1682002163264684,0.5146449352431515,0.14418167366268586,0.5272470648022963,0.14427229681867076,0.49420753884205715,0.14493632705730206
abpr_e1_norm_baseline,7,0.14035493364296772,0.4713864587338999,0.14037805195713718,0.4820804200903171,0.14346394454309558,0.48466701097192344,0.13832490625094981,0.47542583194232846,0.13608166870011063,0.4901936386323367,0.14352609676354533
abpr_e1_norm_baseline,8,0.15090925027445393,0.5200436282654504,0.1495128616519791,0.48289823735094745,0.13243120861990945,0.519394839353886,0.15529311086578992,0.48957037683507715,0.1532822930858292,0.4984426726077802,0.16402677714876202
abpr_e1_openness_high,1,0.13144504305088903,0.773194071747769,0.12103530295856138,0.5096415551029909,0.11764424719341267,0.484011612461818,0.13029012613946853,0.4783648314719408,0.1559344969369151,0.505742487672159,0.13232104202608738
abpr_e1_openness_high,2,0.1440411841705977,0.776640965523156,0.11848165506373912,0.4934323627979602,0.16598791400923565,0.49175903413764255,0.14592947309911422,0.4709843117919028,0.149708167056974,0.4959581109233738,0.1400987116239255
abpr_e1_openness_high,3,0.1424759486398613,0.7855936213493142,0.11995986051831782,0.5057350062443222,0.14976490323341732,0.5309284235014109,0.1529671840532713,0.49944821854271937,0.13332214222967587,0.5119972253565033,0.15636565316462417
abpr_e1_openness_high,4,0.1441526671619575,0.7651638389354093,0.12623139334056488,0.5152885746302514,0.14098565194703588,0.5074706575997892,0.14319344538719783,0.5053000291354794,0.14973085565449157,0.48844582975194506,0.16062198948049736
abpr_e1_openness_high,5,0.13918971916265466,0.7694336451622515,0.12215328743288234,0.49627685308596015,0.14802419541268125,0.4907985421855575,0.13213418777825064,0.4874822080678408,0.15475401049605175,0.5003356571972004,0.13888291469340733
