family,config,baseline,metric,n_pairs,mean_baseline,mean_condition,mean_diff,ci_lo,ci_hi,cohens_dz,hedges_g,cliffs_delta,p_ttest,p_wilcoxon,wilcoxon_min_possible_p,p_holm
e3q,e3q_O2_A2,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,0.10231539451098448,0.20295743680909623,0.06684734907855414,0.35421358794887964,1.0715680763298563,0.5386168905291154,0.36,0.07467168067853079,0.0625,0.0625,0.6720451261067771
e3q,e3q_O2_A5,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,0.218740866815771,0.31938290911388273,-0.2656669345614787,0.9044327527892442,0.4267326535190104,0.7374467675026921,0.6,0.3940155050299392,0.4375,0.0625,1.0
e3q,e3q_O2_A8,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,0.21082924517070892,0.3114712874688207,-0.0514479656038046,0.6743905405414459,0.6790579055830953,0.8312093493616803,0.6,0.20352290832304692,0.3125,0.0625,1.0
e3q,e3q_O5_A2,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,0.08749205627520089,0.18813409857331265,-0.35269231062566153,0.6862582934982924,0.27173995544667456,0.4663242598437053,0.2,0.5762404997382642,0.625,0.0625,1.0
e3q,e3q_O5_A5,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,-0.13128702703241807,-0.030644984734306335,-0.2924290342859104,0.24631051529325804,-0.08840908308827415,-0.0899354279305885,-0.12,0.8529283670245315,1.0,0.0625,1.0
e3q,e3q_O5_A8,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,0.05455579249317184,0.1551978347912836,-0.22473142589361964,0.5176804336025072,0.3082134646255747,0.43704882343590484,0.36,0.5286010905120694,0.3125,0.0625,1.0
e3q,e3q_O8_A2,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,-0.3799304160092112,-0.2792883737110995,-0.9376845158457838,0.2147865212552816,-0.3548373263853789,-0.5232514187500111,-0.12,0.47193138099244747,1.0,0.0625,1.0
e3q,e3q_O8_A5,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,-0.3438458522548665,-0.24320380995675478,-0.7860354143971039,0.23294595780856925,-0.37685834713197647,-0.6314720545239704,-0.36,0.446845910431048,0.8125,0.0625,1.0
e3q,e3q_O8_A8,e1q_norm_baseline,CI_accuracy_z,5,-0.10064204229811173,-0.1861571802723771,-0.08551513797426535,-0.5978612068296376,0.4268309308811068,-0.1290169133999323,-0.21596602273362764,-0.2,0.7873034714478465,1.0,0.0625,1.0
e3q,e3q_O2_A2,e1q_norm_baseline,CI_diversity,5,0.2739183356681621,0.2750413246882054,0.00112298902004333,-0.03504489957537451,0.03729087761546117,0.024129185709914156,0.04004181973721837,-0.12,0.9595586482529467,1.0,0.0625,1.0
e3q,e3q_O2_A5,e1q_norm_baseline,CI_diversity,5,0.2739183356681621,0.27420643124492833,0.0002880955767662396,-0.017733941474461494,0.013791025946270052,0.01349164765112332,0.010652453733830957,0.2,0.9773781081435908,0.8125,0.0625,1.0
e3q,e3q_O2_A8,e1q_norm_baseline,CI_diversity,5,0.2739183356681621,0.25626067565797866,-0.017657660010183436,-0.038225352716828476,0.002910032696461606,-0.6849450398570092,-0.5037778243380527,-0.2,0.20038352306742813,0.3125,0.0625,1.0
e3q,e3q_O5_A2,e1q_norm_baseline,CI_diversity,5,0.2739183356681621,0.2583137131529635,-0.015604622515198651,-0.04374374868766988,0.012463518406981716,-0.4248685770012608,-0.5099425815691585,-0.12,0.3958914657711502,0.8125,0.0625,1.0
e3q,e3q_O5_A5,e1q_norm_baseline,CI_diversity,5,0.2739183356681621,0.2780213820872891,0.004103046419126938,-0.018921962555580558,0.02336254702188654,0.14814888650382,0.14890928596546352,0.04,0.7570680918109528,0.8125,0.0625,1.0
